time,number_of_sensor,pressure
:14:56,0,26|
00:00:14:59,1,1|
00:00:14:62,2,17|
00:00:14:66,3,424|
00:00:14:84,3,41|
00:00:15:2,3,44|
00:14:53,5,81|
00:00:14:56,0,26|
00:00:14:59,1,1|
00:00:14:62,2,17|
00:00:14:66,3,424|
00:00:14:84,3,41|
00:00:15:2,3,44|
00:00:00:9,3,56|
00:00:00:27,3,46|
00:00:00:81,3,23|
00:00:00:99,3,62|
00:00:01:17,3,65|
00:00:01:36,3,64|
00:00:02:44,3,32|
00:00:02:63,3,64|
00:00:02:81,3,79|
00:00:02:99,3,12|
00:00:03:72,3,67|
00:00:03:90,3,82|
00:00:04:8,3,65|
00:00:04:98,3,46|
00:00:05:17,3,80|
00:00:05:35,3,70|
00:00:05:53,3,67|
00:00:06:44,3,17|
00:00:06:62,3,64|
00:00:06:80,3,62|
00:00:08:43,3,12|
